date	Language	Comments	Shares	Statuses
201001	English	0	0	0
201001	Korean	0	0	0
201002	English	0	0	0
201002	Korean	0	0	0
201003	English	0	0	0
201003	Korean	0	0	0
201004	English	0	0	0
201004	Korean	0	0	0
201005	English	0	0	0
201005	Korean	0	0	0
201006	English	3	0	0
201006	Korean	0	0	0
201007	English	0	0	0
201007	Korean	0	0	0
201008	English	0	0	0
201008	Korean	0	0	0
201009	English	3	0	0
201009	Korean	0	0	0
201010	English	0	0	0
201010	Korean	0	0	0
201011	English	1	0	0
201011	Korean	0	0	0
201012	English	1	0	0
201012	Korean	1	0	0
201101	English	0	0	0
201101	Korean	0	0	0
201102	English	0	0	0
201102	Korean	0	0	0
201103	English	0	0	0
201103	Korean	0	0	0
201104	English	0	0	0
201104	Korean	0	0	0
201105	English	0	0	0
201105	Korean	0	0	0
201106	English	0	0	0
201106	Korean	0	0	0
201107	English	0	0	0
201107	Korean	0	0	0
201108	English	0	0	0
201108	Korean	0	0	0
201109	English	0	0	0
201109	Korean	0	0	0
201110	English	0	0	0
201110	Korean	0	0	0
201111	English	0	0	0
201111	Korean	0	0	0
201112	English	1	0	0
201112	Korean	21	0	0
201201	English	1	0	0
201201	Korean	30	0	0
201202	English	0	0	0
201202	Korean	33	0	0
201203	English	2	0	0
201203	Korean	34	0	0
201204	English	1	0	0
201204	Korean	31	0	0
201205	English	2	0	0
201205	Korean	40	0	1
201206	English	0	0	0
201206	Korean	20	0	0
201207	English	0	0	0
201207	Korean	28	0	0
201208	English	2	0	0
201208	Korean	15	0	0
201209	English	11	0	0
201209	Korean	104	0	0
201210	English	3	0	0
201210	Korean	52	0	0
201211	English	14	0	0
201211	Korean	56	0	0
201212	English	12	0	0
201212	Korean	68	0	0
201301	English	9	0	0
201301	Korean	20	0	0
201302	English	12	0	0
201302	Korean	45	0	0
201303	English	13	0	0
201303	Korean	48	0	0
201304	English	10	0	0
201304	Korean	43	0	0
201305	English	4	0	0
201305	Korean	33	0	0
201306	English	6	0	0
201306	Korean	30	0	0
201307	English	5	0	0
201307	Korean	24	0	0
201308	English	10	0	0
201308	Korean	32	0	0
201309	English	12	0	0
201309	Korean	36	0	0
201310	English	27	0	0
201310	Korean	51	0	0
201311	English	13	0	0
201311	Korean	36	0	0
201312	English	3	0	0
201312	Korean	17	0	0
201401	English	3	0	0
201401	Korean	11	0	0
201402	English	6	0	0
201402	Korean	10	0	0
201403	English	12	0	0
201403	Korean	28	0	0
201404	English	10	0	0
201404	Korean	20	0	0
201405	English	8	0	0
201405	Korean	23	0	0
201406	English	1	0	0
201406	Korean	11	0	0
201407	English	3	0	0
201407	Korean	14	0	0
201408	English	0	0	0
201408	Korean	13	0	0
201409	English	0	0	0
201409	Korean	0	0	0
201410	English	0	0	0
201410	Korean	0	0	0
201411	English	0	0	0
201411	Korean	0	0	0
201412	English	0	0	0
201412	Korean	0	0	0
